Id,SalePrice
1461,101829.9647510536
1462,143038.4435664625
1463,194384.593842088
1464,200168.41123397183
1465,174022.93142167688
1466,194371.9310792433
1467,184022.42922054557
1468,191029.4365308662
1469,185574.04333908437
1470,126062.59225003561
1471,166564.3799806838
1472,88897.86565662408
1473,91779.53572000517
1474,161075.52401847532
1475,118709.21535648871
1476,265158.63577783667
1477,212610.41077798652
1478,238349.42876384663
1479,244718.4274607827
1480,310257.5884196623
1481,263119.4603818441
1482,202362.20021002763
1483,183819.71385610895
1484,179196.1450779615
1485,196029.41399366828
1486,209107.54876269586
1487,260265.76121534547
1488,225666.3811225146
1489,196006.0583713397
1490,224649.06803406123
1491,196923.67287608446
1492,78385.83890001196
1493,190631.90878560185
1494,239786.13703037403
1495,231741.31055015884
1496,227770.10180482594
1497,192758.42072650394
1498,176093.19279582775
1499,163227.95329437777
1500,165011.21892191633
1501,176619.85924236826
1502,163216.82165257446
1503,235326.43114260538
1504,222121.54079421703
1505,220783.9897521343
1506,187059.36822678335
1507,238858.86502646003
1508,215760.4176751906
1509,157795.34385324875
1510,147742.92483080365
1511,147044.07020077622
1512,165602.0187790303
1513,166399.2210507961
1514,141864.5103400154
1515,222176.8267568797
1516,169880.38979279762
1517,181640.7974105305
1518,150392.71463228296
1519,193525.32448021043
1520,118678.99734777119
1521,126087.17968717637
1522,166871.4247549125
1523,123331.62865604647
1524,121352.42156686564
1525,114490.16496279137
1526,101327.74312360003
1527,127203.67167851096
1528,142091.55443085846
1529,139284.90606687823
1530,193028.7752187741
1531,125025.67571283504
1532,96183.30243408354
1533,147258.93103104224
1534,128744.2757544599
1535,164598.1959674717
1536,102167.16222799965
1537,79895.19662559358
1538,139255.45243335608
1539,174034.93055267446
1540,92512.42815780942
1541,127128.41602219874
1542,137293.40412049973
1543,186198.20975444792
1544,86518.66656815493
1545,100092.94272224465
1546,131668.35812854627
1547,124859.49123415584
1548,125616.53682293463
1549,118770.92506050854
1550,141152.5212206249
1551,97411.26814439823
1552,145574.32024477236
1553,121356.9845626913
1554,113237.22690327046
1555,181473.88653343124
1556,92662.14005386131
1557,72611.40736306901
1558,87273.48416966107
1559,49029.55321824411
1560,135808.73764489032
1561,126761.92100562598
1562,136599.3412950153
1563,110883.59061353025
1564,164126.29283616296
1565,155861.97363984073
1566,223398.57738764444
1567,83400.88353661564
1568,223185.7003835016
1569,161528.30409976095
1570,145152.61704655457
1571,147096.64668352297
1572,152296.70076750172
1573,215701.19013179932
1574,141817.56520283083
1575,207164.18884707498
1576,243114.9618079909
1577,182736.27916438621
1578,145637.62899507862
1579,153594.32929637656
1580,197789.47355049336
1581,163449.36066179257
1582,135514.64950365387
1583,245784.16008233838
1584,219538.44586342294
1585,143416.36356152268
1586,82437.43753874721
1587,98693.65585986618
1588,163072.8343540281
1589,112146.65890284488
1590,143691.48740052525
1591,97764.12361071655
1592,154026.79582305765
1593,127540.92826978164
1594,127931.35351649998
1595,110104.38554536691
1596,190987.82357557653
1597,171706.6980585223
1598,195326.08681271528
1599,174259.3818627703
1600,179190.94021156686
1601,70133.3613403989
1602,103331.14723660192
1603,64647.61577894841
1604,224099.6526206755
1605,220374.88518294785
1606,173674.73970852885
1607,190575.25790114258
1608,210360.51146556903
1609,182759.74093153514
1610,177262.87994632986
1611,159513.3664068568
1612,203399.39890532778
1613,201199.83895337605
